"","Geo_FIPS","X","fips10","incpc.0","dpov.0","npov.0","pop.0","incpc.1","dpov.1","npov.1","pop.1","incpc.2","dpov.2","npov.2","pop.2","incpc.3","dpov.3","npov.3","pop.3","incpc.4","dpov.4","npov.4","pop.4","trtid10","trctpop7","tractid","state","county","tract","placefp10","cbsa10","metdiv10","ccflag10","pop70","asian70","pop80","nhwht80","nhblk80","asian80","hisp80","pop90","nhwht90","nhblk90","asian90","hisp90","pop00","nhwht00","nhblk00","asian00","hisp00","pop10","nhwht10","nhblk10","asian10","hisp10","nhwht70","nhblk70","hisp70","wbha70","wbha80","wbha90","wbha00","wbha10","pw70","pb70","ph70","pa70","pw80","pb80","ph80","pa80","pw90","pb90","ph90","pa90","pw00","pb00","ph00","pa00","pw10","pb10","ph10","pa10","trtid10str"
"232","24031700820",22277,24031700820,437.960705220699,51.2456695148638,0,1,2482.78672751681,1346.72315424802,2,27,5751.1932457709,2000.30130258992,3,40,8248.65805637836,2266.19893077016,2,45,29659,2749,8,55,2.403e+10,158.9768163,2.403e+10,"MD","Montgomery County","Census Tract 7008.20",31175,47900,13644,1,57.6102,0,1351.112,24,2,1,1,2011.365,30,4,4,2,2273,24,7,7,6,2898,14,19,9,16,1,0,0,56.52178,1344.104,2000.869,2233.894,2878,0.9730762,0.0176923,0,0.0092315,0.8766518,0.0582947,0.0254754,0.0395781,0.7379225,0.1118592,0.0547064,0.0955118,0.5437016,0.1650387,0.1277432,0.1635164,0.2446143,0.3227936,0.2817929,0.1507992,"24031700820"
"233","24031700822",22278,24031700822,438.153390288353,51.2682137536237,0,1,2483.87896686708,1347.31561110575,2,27,5753.72333806776,2001.18128465639,3,40,8252.28675031662,2267.1958616972,2,45,31608,1621,2,32,2.403e+10,159.0467523,2.403e+10,"MD","Montgomery County","Census Tract 7008.22",31175,47900,13644,1,57.63554,0,1351.706,24,2,1,1,2012.249,30,4,4,2,2274,24,7,7,6,1568,9,6,6,10,1,0,0,56.52201,1344.695,2001.75,2234.876,1548,0.9730722,0.0176922,0,0.0092355,0.8766518,0.0582947,0.0254754,0.0395781,0.7379225,0.1118592,0.0547064,0.0955118,0.5437016,0.1650387,0.1277432,0.1635164,0.2835917,0.2086563,0.3081395,0.1996124,"24031700822"
"234","24031700823",22279,24031700823,669.368878424168,78.3226815154704,0,2,3794.63310697372,2058.30013927486,2,41,8789.98910906581,3057.21367953421,4,61,12607.055193305,3463.60520753264,3,69,43907,3130,3,63,2.403e+10,242.9764313,2.403e+10,"MD","Montgomery County","Census Tract 7008.23",31175,47900,13644,1,88.05008,0,2065.008,36,2,2,1,3074.123,45,7,6,3,3474,37,11,11,9,3464,42,7,12,8,2,0,0,85.79748,2054.297,3058.082,3414.23,3444,0.9673944,0.0233107,0,0.0092949,0.8766518,0.0582947,0.0254754,0.0395781,0.7379225,0.1118592,0.0547064,0.0955118,0.5437016,0.1650387,0.1277432,0.1635164,0.6114982,0.1039489,0.1135308,0.1710221,"24031700823"
"235","24031700824",22280,24031700824,1261.90014648438,146.868784054206,0,3,NA,NA,NA,7,8536.55812308571,827.689095584356,0,17,13762.3606443405,2843.68022653461,2,57,59325,2695,2,54,2.403e+10,65.56596345,2.403e+10,"MD","Montgomery County","Census Tract 7008.24",31175,47900,13644,1,165.2508,0,362.2357,6,0,1,0,827.6891,11,1,3,1,2856.014,42,3,8,3,2736,41,3,6,4,3,0,0,160.5006,358.6653,825.0924,2825.828,2724,0.9719591,0.0186915,0,0.0093493,0.8552036,0.0289593,0.0325792,0.0832579,0.6888277,0.0712038,0.0468135,0.193155,0.7487939,0.0518034,0.0526074,0.1467953,0.7518355,0.0602056,0.0697504,0.1182085,"24031700824"
"236","24031700826",22281,24031700826,961.345031738281,111.888079594972,0,3,NA,NA,NA,6,6503.3499180493,630.552938822271,0,13,10484.4882130623,2166.38210459054,1,44,59993,5873,4,117,2.403e+10,49.94968441,2.403e+10,"MD","Montgomery County","Census Tract 7008.26",31175,47900,13644,1,125.892,0,275.9596,5,0,0,0,630.5529,9,1,2,1,2175.779,32,2,6,2,5944,90,6,17,6,2,0,0,122.1432,273.2396,628.5747,2152.782,5925,0.9742665,0.0163742,0,0.0093593,0.8552036,0.0289593,0.0325792,0.0832579,0.6888277,0.0712038,0.0468135,0.193155,0.748794,0.0518034,0.0526074,0.1467953,0.7606751,0.0472574,0.0491139,0.1429536,"24031700826"
"237","24031700828",22282,24031700828,901.444274902344,104.916406061501,0,2,NA,NA,NA,5,6098.1304106032,591.263594944417,0,12,9831.20630979538,2031.3961905688,1,41,58626,2638,1,53,2.403e+10,46.83735082,2.403e+10,"MD","Montgomery County","Census Tract 7008.28",31175,47900,13644,1,118.0477,0,258.7648,4,0,0,0,591.2636,8,1,2,1,2040.207,30,2,6,2,2468,33,2,13,2,2,0,0,115.0719,256.2142,589.4086,2018.643,2458,0.9733042,0.0173804,0,0.0093154,0.8552036,0.0289593,0.0325792,0.0832579,0.6888278,0.0712038,0.0468135,0.193155,0.748794,0.0518034,0.0526074,0.1467953,0.6672091,0.0353946,0.0353946,0.2620016,"24031700828"
"238","24031700829",22283,24031700829,766.73513007164,89.0592483383304,0,2,3.82596455412181,1.91817664622855,0,4,5169.43490180702,504.002450546813,0,10,8342.19891921908,1726.28358521807,1,35,54326,2787,1,56,2.403e+10,40.06166296,2.403e+10,"MD","Montgomery County","Census Tract 7008.29",31175,47900,13644,1,100.2046,0,221.0096,4,0,0,0,504.1757,7,1,2,0,1733.772,26,2,5,2,3067,32,4,20,5,2,0,0,97.92006,218.8344,502.5844,1715.435,3052,0.9701791,0.0204248,9.97e-05,0.0092963,0.854639,0.0296578,0.0326586,0.0830445,0.6885009,0.0718758,0.0471919,0.1924313,0.7473909,0.0522898,0.05332,0.1469993,0.5249017,0.069135,0.0809305,0.3250328,"24031700829"
"239","24031700830",22284,24031700830,233.263595581055,73.6842966353085,0,2,1259.09432761075,469.617250123313,1,9,2404.53210250435,824.354189222976,1,16,3856.06252896786,1192.39953242242,1,24,35848,1787,1,36,2.403e+10,48.64439401,2.403e+10,"MD","Montgomery County","Census Tract 7008.30",32025,47900,13644,0,76.29624,0,471.7588,8,1,0,0,824.3542,12,2,1,1,1195,12,5,3,3,2520,12,17,11,10,1,0,0,74.85649,467.3227,821.4477,1175.726,2493,0.9351227,0.0534356,0.0102175,0.0012243,0.8252046,0.1414075,0.0157119,0.0176759,0.7560522,0.150838,0.0422719,0.050838,0.5183451,0.2192298,0.1173562,0.145069,0.2326514,0.3477738,0.192138,0.2274368,"24031700830"
"240","24031700832",22285,24031700832,543.826293945313,171.786154984706,0,4,2935.42835013855,1094.85664377662,2,22,5605.87999463345,1921.88353528085,3,38,8989.95001196861,2779.93733510375,3,56,28495,2680,3,54,2.403e+10,113.4086046,2.403e+10,"MD","Montgomery County","Census Tract 7008.32",32025,47900,13644,0,177.8756,0,1099.849,18,3,0,0,1921.884,29,6,2,2,2786,28,12,8,6,2958,16,15,5,22,3,0,0,173.9968,1089.507,1915.108,2741.064,2918,0.9310515,0.0574723,0.0102482,0.001228,0.8252046,0.1414075,0.0157119,0.0176759,0.7560521,0.150838,0.0422719,0.050838,0.5183451,0.2192298,0.1173562,0.145069,0.2741604,0.25634,0.3841672,0.0853324,"24031700832"
"241","24031700833",22286,24031700833,747.809936523438,236.221376813244,0,5,4036.47736610726,1505.5261224577,3,30,7708.58798661645,2642.76230420994,4,53,12361.987834692,3822.66324862838,5,77,29667,4299,7,86,2.403e+10,155.9470062,2.403e+10,"MD","Montgomery County","Census Tract 7008.33",32025,47900,13644,0,244.5949,0,1512.392,25,4,1,0,2642.762,40,8,3,2,3831,39,17,11,9,4251,23,18,19,24,4,0,0,239.7458,1498.17,2633.445,3769.21,4228,0.9301518,0.0583952,0.0102275,0.0012255,0.8252046,0.1414075,0.0157119,0.0176759,0.7560521,0.150838,0.0422719,0.050838,0.518345,0.2192298,0.1173562,0.145069,0.2743614,0.2185431,0.28193,0.2251656,"24031700833"
